name,dolp_mae,dolp_rmse,cos_mae,sin_mae,cos_sin_vector_error,weighted_aolp_error_deg,high_dolp_aolp_error_deg,dop_mae,dop_rmse,aop_mae_deg,weighted_aop_mae_deg,high_dop_aop_mae_deg
scene13_traj2_2__000041,0.05571259185671806,0.09495610743761063,0.53322434425354,0.5022917985916138,0.8032049536705017,20.218486785888672,15.24813461303711,0.05571259185671806,0.09495610743761063,26.46234703063965,20.218486785888672,15.24813461303711
scene13_traj2_2__000042,0.05578095465898514,0.09476450085639954,0.534525454044342,0.5017002820968628,0.8033504486083984,20.249820709228516,15.387432098388672,0.05578095465898514,0.09476450085639954,26.470121383666992,20.249820709228516,15.387432098388672
scene13_traj2_2__000043,0.05627751350402832,0.0945693701505661,0.5319037437438965,0.49788862466812134,0.7980508804321289,20.209644317626953,15.327256202697754,0.05627751350402832,0.0945693701505661,26.313779830932617,20.209644317626953,15.327256202697754
scene13_traj2_2__000044,0.057661816477775574,0.09630925208330154,0.5276204347610474,0.4947650730609894,0.7928087115287781,19.94930076599121,15.160104751586914,0.057661816477775574,0.09630925208330154,26.116270065307617,19.94930076599121,15.160104751586914
scene13_traj2_2__000045,0.058763936161994934,0.09636849910020828,0.5240131616592407,0.4921838343143463,0.787519633769989,19.703582763671875,14.695906639099121,0.058763936161994934,0.09636849910020828,25.97078514099121,19.703582763671875,14.695906639099121
scene13_traj2_2__000046,0.05864225700497627,0.09528367221355438,0.5164976119995117,0.486926406621933,0.7774544358253479,19.206581115722656,14.1334867477417,0.05864225700497627,0.09528367221355438,25.63041114807129,19.206581115722656,14.1334867477417
scene13_traj2_2__000047,0.05880630761384964,0.09540554136037827,0.5157415270805359,0.4864177703857422,0.7764475345611572,19.1572322845459,14.00386905670166,0.05880630761384964,0.09540554136037827,25.60198211669922,19.1572322845459,14.00386905670166
scene13_traj2_2__000048,0.05866336449980736,0.09525267779827118,0.5154129862785339,0.48553305864334106,0.775359570980072,19.098913192749023,13.893176078796387,0.05866336449980736,0.09525267779827118,25.5712890625,19.098913192749023,13.893176078796387
scene13_traj2_2__000049,0.05779937654733658,0.09304071217775345,0.510283887386322,0.48247334361076355,0.7696311473846436,18.769948959350586,13.592575073242188,0.05779937654733658,0.09304071217775345,25.349803924560547,18.769948959350586,13.592575073242188
scene13_traj2_2__000050,0.05622998997569084,0.09011384099721909,0.5046547651290894,0.47651568055152893,0.7603793740272522,18.291845321655273,13.244091987609863,0.05622998997569084,0.09011384099721909,24.996824264526367,18.291845321655273,13.244091987609863
