[config] train=5253 val=540 batch=20 visible_gpus=2 data_parallel=True init_checkpoint=/home/hy/twostagenet/checkpoints_direct_unetpp_13168/best_val.pth resume=
epoch 24/80 | train_loss=0.574293 | train_loss_dolp=0.000941 | train_loss_vector=0.157158 | train_loss_aolp=0.682964 | train_loss_lowfreq=0.233321 | train_loss_edge=0.560956 | train_mean_aolp_reliability=0.265525 | val_loss=1.079237 | val_loss_dolp=0.001216 | val_loss_vector=0.346407 | val_loss_aolp=1.270366 | val_loss_lowfreq=0.334163 | val_loss_edge=0.591967 | val_mean_aolp_reliability=0.272024
epoch 25/80 | train_loss=0.574134 | train_loss_dolp=0.000927 | train_loss_vector=0.157126 | train_loss_aolp=0.682862 | train_loss_lowfreq=0.233006 | train_loss_edge=0.560967 | train_mean_aolp_reliability=0.265525 | val_loss=1.071058 | val_loss_dolp=0.001182 | val_loss_vector=0.342874 | val_loss_aolp=1.259030 | val_loss_lowfreq=0.339840 | val_loss_edge=0.590373 | val_mean_aolp_reliability=0.272024
epoch 26/80 | train_loss=0.572733 | train_loss_dolp=0.000922 | train_loss_vector=0.156619 | train_loss_aolp=0.681196 | train_loss_lowfreq=0.232730 | train_loss_edge=0.560969 | train_mean_aolp_reliability=0.265525 | val_loss=1.064468 | val_loss_dolp=0.001099 | val_loss_vector=0.340168 | val_loss_aolp=1.251869 | val_loss_lowfreq=0.338935 | val_loss_edge=0.589592 | val_mean_aolp_reliability=0.272024
epoch 27/80 | train_loss=0.572880 | train_loss_dolp=0.000923 | train_loss_vector=0.156672 | train_loss_aolp=0.681444 | train_loss_lowfreq=0.232576 | train_loss_edge=0.560965 | train_mean_aolp_reliability=0.265525 | val_loss=1.032526 | val_loss_dolp=0.001147 | val_loss_vector=0.328099 | val_loss_aolp=1.215596 | val_loss_lowfreq=0.329960 | val_loss_edge=0.589810 | val_mean_aolp_reliability=0.272024
epoch 28/80 | train_loss=0.572224 | train_loss_dolp=0.000911 | train_loss_vector=0.156447 | train_loss_aolp=0.680751 | train_loss_lowfreq=0.232211 | train_loss_edge=0.560970 | train_mean_aolp_reliability=0.265525 | val_loss=1.038677 | val_loss_dolp=0.001073 | val_loss_vector=0.330536 | val_loss_aolp=1.225478 | val_loss_lowfreq=0.324339 | val_loss_edge=0.589233 | val_mean_aolp_reliability=0.272024
epoch 29/80 | train_loss=0.571490 | train_loss_dolp=0.000904 | train_loss_vector=0.156187 | train_loss_aolp=0.679894 | train_loss_lowfreq=0.232023 | train_loss_edge=0.560953 | train_mean_aolp_reliability=0.265525 | val_loss=1.022731 | val_loss_dolp=0.001182 | val_loss_vector=0.324179 | val_loss_aolp=1.204037 | val_loss_lowfreq=0.329475 | val_loss_edge=0.589133 | val_mean_aolp_reliability=0.272024
epoch 30/80 | train_loss=0.571403 | train_loss_dolp=0.000903 | train_loss_vector=0.156156 | train_loss_aolp=0.679843 | train_loss_lowfreq=0.231874 | train_loss_edge=0.560962 | train_mean_aolp_reliability=0.265525 | val_loss=1.008208 | val_loss_dolp=0.001114 | val_loss_vector=0.318720 | val_loss_aolp=1.189134 | val_loss_lowfreq=0.321679 | val_loss_edge=0.589427 | val_mean_aolp_reliability=0.272024
[best_val] epoch=30 loss=1.008208
epoch 31/80 | train_loss=0.571221 | train_loss_dolp=0.000897 | train_loss_vector=0.156101 | train_loss_aolp=0.679719 | train_loss_lowfreq=0.231575 | train_loss_edge=0.560958 | train_mean_aolp_reliability=0.265525 | val_loss=1.032357 | val_loss_dolp=0.001199 | val_loss_vector=0.327966 | val_loss_aolp=1.215596 | val_loss_lowfreq=0.329478 | val_loss_edge=0.589969 | val_mean_aolp_reliability=0.272024
epoch 32/80 | train_loss=0.571101 | train_loss_dolp=0.000888 | train_loss_vector=0.156075 | train_loss_aolp=0.679640 | train_loss_lowfreq=0.231345 | train_loss_edge=0.560973 | train_mean_aolp_reliability=0.265525 | val_loss=1.108664 | val_loss_dolp=0.001122 | val_loss_vector=0.357395 | val_loss_aolp=1.302040 | val_loss_lowfreq=0.347641 | val_loss_edge=0.591967 | val_mean_aolp_reliability=0.272024
epoch 33/80 | train_loss=0.570227 | train_loss_dolp=0.000883 | train_loss_vector=0.155752 | train_loss_aolp=0.678597 | train_loss_lowfreq=0.231232 | train_loss_edge=0.560943 | train_mean_aolp_reliability=0.265525 | val_loss=1.053223 | val_loss_dolp=0.001120 | val_loss_vector=0.335889 | val_loss_aolp=1.238359 | val_loss_lowfreq=0.337629 | val_loss_edge=0.590169 | val_mean_aolp_reliability=0.272024
epoch 34/80 | train_loss=0.570527 | train_loss_dolp=0.000878 | train_loss_vector=0.155888 | train_loss_aolp=0.679013 | train_loss_lowfreq=0.231037 | train_loss_edge=0.560953 | train_mean_aolp_reliability=0.265525 | val_loss=1.072902 | val_loss_dolp=0.001091 | val_loss_vector=0.343551 | val_loss_aolp=1.263205 | val_loss_lowfreq=0.335561 | val_loss_edge=0.590897 | val_mean_aolp_reliability=0.272024
