name,dolp_mae,dolp_rmse,cos_mae,sin_mae,cos_sin_vector_error,weighted_aolp_error_deg,high_dolp_aolp_error_deg,dop_mae,dop_rmse,aop_mae_deg,weighted_aop_mae_deg,high_dop_aop_mae_deg
scene13_traj1_1__000214,0.04138302803039551,0.06711051613092422,0.5148268938064575,0.49687594175338745,0.7853218913078308,19.777217864990234,15.024100303649902,0.04138302803039551,0.06711051613092422,25.873870849609375,19.777217864990234,15.024100303649902
scene13_traj1_1__000215,0.040963999927043915,0.06654177606105804,0.5190535187721252,0.5007358193397522,0.7915456295013428,19.96712875366211,15.108427047729492,0.040963999927043915,0.06654177606105804,26.10486602783203,19.96712875366211,15.108427047729492
scene13_traj1_1__000216,0.04088800400495529,0.06626709550619125,0.5139195919036865,0.49759894609451294,0.7846478819847107,19.562786102294922,14.490814208984375,0.04088800400495529,0.06626709550619125,25.844404220581055,19.562786102294922,14.490814208984375
scene13_traj1_1__000217,0.04074082523584366,0.06597455590963364,0.5134615898132324,0.4986349940299988,0.7854217886924744,19.59686851501465,14.578649520874023,0.04074082523584366,0.06597455590963364,25.87459945678711,19.59686851501465,14.578649520874023
scene13_traj1_1__000218,0.04092007502913475,0.0666181743144989,0.5201759934425354,0.4979705214500427,0.7893070578575134,19.887025833129883,14.945549011230469,0.04092007502913475,0.0666181743144989,26.01313591003418,19.887025833129883,14.945549011230469
scene13_traj1_1__000219,0.04057316854596138,0.06568023562431335,0.52157062292099,0.5017751455307007,0.7931244373321533,20.09691619873047,15.055036544799805,0.04057316854596138,0.06568023562431335,26.15688705444336,20.09691619873047,15.055036544799805
scene13_traj1_1__000220,0.040608394891023636,0.06599953025579453,0.525021493434906,0.5033681392669678,0.7969020009040833,20.25963592529297,15.12164306640625,0.040608394891023636,0.06599953025579453,26.317548751831055,20.25963592529297,15.12164306640625
scene13_traj1_1__000221,0.04032117500901222,0.06505684554576874,0.5254071950912476,0.5009550452232361,0.7961896657943726,20.09089469909668,14.85387897491455,0.04032117500901222,0.06505684554576874,26.268266677856445,20.09089469909668,14.85387897491455
scene13_traj1_1__000222,0.040326427668333054,0.06527310609817505,0.5244796276092529,0.5006294846534729,0.7946768999099731,19.99188804626465,14.783665657043457,0.040326427668333054,0.06527310609817505,26.193723678588867,19.99188804626465,14.783665657043457
scene13_traj1_1__000223,0.040946148335933685,0.06611301004886627,0.5210351943969727,0.4948512315750122,0.78789883852005,19.618022918701172,14.313916206359863,0.040946148335933685,0.06611301004886627,25.96089744567871,19.618022918701172,14.313916206359863
scene13_traj1_1__000224,0.04069921746850014,0.06515347212553024,0.5197957754135132,0.4916244447231293,0.7841847538948059,19.360668182373047,14.023375511169434,0.04069921746850014,0.06515347212553024,25.82647705078125,19.360668182373047,14.023375511169434
scene13_traj1_1__000225,0.04123881831765175,0.06600973010063171,0.5182905793190002,0.48772382736206055,0.7798014283180237,19.207826614379883,13.778501510620117,0.04123881831765175,0.06600973010063171,25.689748764038086,19.207826614379883,13.778501510620117
