name,stage1_dolp_mae,stage1_dolp_rmse,stage1_cos_mae,stage1_sin_mae,stage1_cos_sin_vector_error,stage1_weighted_aolp_error_deg,stage1_high_dolp_aolp_error_deg,stage1_dop_mae,stage1_dop_rmse,stage1_aop_mae_deg,stage1_weighted_aop_mae_deg,stage1_high_dop_aop_mae_deg,stage2_dolp_mae,stage2_dolp_rmse,stage2_cos_mae,stage2_sin_mae,stage2_cos_sin_vector_error,stage2_weighted_aolp_error_deg,stage2_high_dolp_aolp_error_deg,stage2_dop_mae,stage2_dop_rmse,stage2_aop_mae_deg,stage2_weighted_aop_mae_deg,stage2_high_dop_aop_mae_deg
scene13_traj1_1__000111,0.07114749401807785,0.10879423469305038,0.9091240167617798,0.7041773796081543,1.2559691667556763,40.41775894165039,37.768455505371094,0.07114749401807785,0.10879423469305038,43.6408805847168,40.41775894165039,37.768455505371094,0.07114749401807785,0.10879422724246979,0.5423761010169983,0.4984518587589264,0.8097174167633057,23.07212257385254,19.404186248779297,0.07114749401807785,0.10879422724246979,27.074174880981445,23.07212257385254,19.404186248779297
scene13_traj1_1__000112,0.07128137350082397,0.10905608534812927,0.9052839279174805,0.7061793208122253,1.2555078268051147,40.26004409790039,37.56056213378906,0.07128137350082397,0.10905608534812927,43.5411491394043,40.26004409790039,37.56056213378906,0.07128135859966278,0.10905607044696808,0.5423676371574402,0.49861305952072144,0.8089622855186462,23.119333267211914,19.62860107421875,0.07128135859966278,0.10905607044696808,27.074249267578125,23.119333267211914,19.62860107421875
scene13_traj1_1__000113,0.07118464261293411,0.10872063785791397,0.9114215970039368,0.7087991833686829,1.2612333297729492,40.6671142578125,38.062740325927734,0.07118464261293411,0.10872063785791397,43.810279846191406,40.6671142578125,38.062740325927734,0.07118464261293411,0.10872063040733337,0.5427713394165039,0.49720433354377747,0.8088034391403198,23.189393997192383,19.76163673400879,0.07118464261293411,0.10872063040733337,27.05202293395996,23.189393997192383,19.76163673400879
scene13_traj1_1__000114,0.07143077254295349,0.1090606227517128,0.909298300743103,0.6985426545143127,1.2519619464874268,39.97279739379883,37.2531852722168,0.07143077254295349,0.1090606227517128,43.38862609863281,39.97279739379883,37.2531852722168,0.0714307650923729,0.1090606078505516,0.5423890948295593,0.5015310645103455,0.8116796016693115,23.258886337280273,19.801225662231445,0.0714307650923729,0.1090606078505516,27.19499397277832,23.258886337280273,19.801225662231445
scene13_traj1_1__000115,0.07132057845592499,0.10903862118721008,0.9074707627296448,0.7008209824562073,1.251037836074829,40.16923904418945,37.50298309326172,0.07132057845592499,0.10903862118721008,43.40108871459961,40.16923904418945,37.50298309326172,0.07132057100534439,0.10903859883546829,0.5448970198631287,0.5015156865119934,0.8136993646621704,23.434585571289062,20.112010955810547,0.07132057100534439,0.10903859883546829,27.258398056030273,23.434585571289062,20.112010955810547
scene13_traj1_1__000116,0.07185577601194382,0.1095840334892273,0.9131832718849182,0.6982613205909729,1.2528449296951294,40.06448745727539,37.270381927490234,0.07185577601194382,0.1095840334892273,43.51893615722656,40.06448745727539,37.270381927490234,0.07185576856136322,0.1095840260386467,0.5419871211051941,0.49810272455215454,0.8085827231407166,23.329769134521484,20.1329288482666,0.07185576856136322,0.1095840260386467,27.065570831298828,23.329769134521484,20.1329288482666
scene13_traj1_1__000117,0.07119233161211014,0.10863111913204193,0.9084142446517944,0.7116085290908813,1.2604656219482422,40.56509017944336,38.05912780761719,0.07119233161211014,0.10863111913204193,43.76811599731445,40.56509017944336,38.05912780761719,0.07119232416152954,0.10863110423088074,0.5434755086898804,0.49895143508911133,0.8106132745742798,23.38901138305664,20.25604248046875,0.07119232416152954,0.10863110423088074,27.132034301757812,23.38901138305664,20.25604248046875
scene13_traj1_1__000118,0.0713011771440506,0.10872893035411835,0.9081256985664368,0.7051674723625183,1.2556626796722412,40.33146286010742,37.86573028564453,0.0713011771440506,0.10872893035411835,43.54820251464844,40.33146286010742,37.86573028564453,0.07130115479230881,0.10872891545295715,0.5421898365020752,0.4986167550086975,0.8097289800643921,23.35906410217285,20.216915130615234,0.07130115479230881,0.10872891545295715,27.11112403869629,23.35906410217285,20.216915130615234
scene13_traj1_1__000119,0.071288101375103,0.10866286605596542,0.9072096943855286,0.7039304971694946,1.2541016340255737,40.21977233886719,37.637298583984375,0.071288101375103,0.10866286605596542,43.458290100097656,40.21977233886719,37.637298583984375,0.0712880864739418,0.10866285115480423,0.542907178401947,0.4967133104801178,0.8080361485481262,23.25253677368164,20.060693740844727,0.0712880864739418,0.10866285115480423,27.039743423461914,23.25253677368164,20.060693740844727
scene13_traj1_1__000120,0.07163887470960617,0.10854793339967728,0.9038103818893433,0.709445059299469,1.2591646909713745,40.39352798461914,38.0038948059082,0.07163887470960617,0.10854793339967728,43.59690475463867,40.39352798461914,38.0038948059082,0.07163887470960617,0.10854791849851608,0.5423712730407715,0.49736589193344116,0.8078738451004028,23.383455276489258,20.393110275268555,0.07163887470960617,0.10854791849851608,27.05323600769043,23.383455276489258,20.393110275268555
